holiday,ad_spend,sales,x1,x2,x3,geo_B,geo_C
0,11.70134838977085,5.463124873674049,-3.034834489187242,-0.7986556356060739,-0.1946029446430878,0,0
0,19.813492311827808,6.273968564710654,0.198445411272256,0.7216937126146343,-0.8398308574229384,0,1
0,10.295870650135454,5.097198858889836,1.5355775067363775,0.3974797475115409,-0.3673716893385447,1,0
0,11.762654948647967,4.657648556870866,-0.7515870728910815,0.7255669095211675,0.6542135871104259,1,0
0,14.730200091257766,6.655094467912546,-2.0330646967734682,-0.6026749363403339,-0.2517473096472355,0,0
1,20.847374268500708,5.740419096983757,-0.9676518329113183,-1.0599580841562086,-0.5703238788587689,0,0
0,12.706472445692143,4.956602030153093,-0.41449785388736143,-0.818804592789059,0.09408642702439358,0,0
1,11.250523422257583,4.679517343463624,1.3607610091919269,-0.750350201807157,0.7597805461774689,0,1
0,16.635293389836825,5.707988072789947,1.035774012142254,-0.04683432576807956,0.7498158661231576,1,0
1,10.988671224268094,4.420443393066618,-0.04386031050580383,-1.1839726553112497,0.6153351838005282,1,0
1,10.269443913376074,4.712547308032336,0.46658028772407095,1.0654166416331188,1.3702009409170128,0,0
0,11.488441603945649,4.492964410366553,-0.7089037539731958,0.5157446626096858,-0.09048574354593028,0,1
1,11.484161890286135,4.637454187851633,2.088529918330076,-0.8646327166463977,-0.36120965074872335,0,1
0,11.852510054140458,5.209705463285802,1.2130835022352937,-0.19858745526189975,-0.15544949449650478,0,0
0,12.764715945990528,8.083567934992486,0.053550559183377006,-0.8867151500988417,-0.8093995812313772,0,0
0,13.216242156062837,4.814924276681257,-0.07360532184667211,-0.14931177751396676,-0.8327265683770045,0,0
0,13.83040228073465,5.420145427220705,0.7015071835050385,-0.8348240193376443,0.7388080138638646,0,0
0,13.095680444287817,6.078859697668651,-0.057174556087639064,2.142335642656741,0.8306045820151273,1,0
0,17.056270070998842,6.067764380650729,-1.821380364068861,-1.5907764847981607,-2.645881901907401,1,0
0,17.952151292596486,5.765932116788741,1.5332634124018965,-1.2695564691176369,0.94023695093498,0,0
0,11.535835736124538,4.715445185788938,1.1686387666957307,-0.23779301792984103,-0.4112887052753852,1,0
0,14.69297901587556,6.392203600159235,0.37200413329606663,0.09373372799405548,-0.6323565696889504,0,0
1,14.385226465726086,4.590171727838575,-0.41960557948105137,0.10013549594194475,-0.3269587329587323,0,0
1,21.939956365683294,6.690341974101339,0.0098171423742352,0.9177740929852982,-1.2621458448409373,0,0
0,11.275325435216304,4.604195979039616,-2.6438814056076323,0.4425090208519343,-0.16804305774472877,1,0
0,15.590459777962796,4.918117277972275,-1.1073901628198541,-0.9217037505210004,1.9149089488220326,0,1
0,10.718687189104285,4.6853484720987675,1.7670983211806406,1.0621231723506623,-1.5476904471688202,0,0
0,12.139117594046906,4.615580415085635,0.5172696012898548,0.6282617429040596,0.618340465913957,1,0
0,13.009559531222942,4.587444910009147,-1.948699208008674,1.3868459481618516,0.9746071716111325,1,0
0,10.095765452006708,5.76275626407609,-0.8277210486134192,0.051362327347286095,0.58195826301808,0,0
